"Date","Value"
"2017-01-20 18:28:42","130000"
"2017-01-20 17:16:04","130000"
"2017-01-20 16:46:03","130000"
"2017-01-20 15:58:28","130000"
"2017-01-20 15:06:03","130000"
"2017-01-20 14:17:19","130000"
"2017-01-20 13:45:56","130000"
"2017-01-20 12:38:56","130000"
"2017-01-20 12:06:52","130000"
"2017-01-20 11:22:35","130000"
"2017-01-20 10:30:11","130000"
"2017-01-20 09:42:47","130000"
"2017-01-20 09:10:16","130000"
"2017-01-20 08:01:22","130000"
"2017-01-20 07:29:15","130000"
"2017-01-20 06:42:40","130000"
"2017-01-20 05:51:26","130000"
"2017-01-20 05:04:05","131336"
"2017-01-20 04:33:45","131336"
"2017-01-20 03:35:27","131336"
"2017-01-20 03:03:28","131336"
"2017-01-20 02:15:55","131336"
"2017-01-20 01:23:31","131336"
"2017-01-20 00:33:46","131336"
"2017-01-20 00:04:58","131336"
"2017-01-19 22:55:22","131336"
"2017-01-19 22:25:27","131336"
"2017-01-19 21:36:58","131336"
"2017-01-19 20:44:30","131336"
"2017-01-19 19:55:28","131336"
"2017-01-19 19:25:23","131336"
"2017-01-19 18:13:36","131336"
"2017-01-19 17:42:18","131336"
"2017-01-19 16:50:37","131336"
"2017-01-19 15:59:11","131336"
"2017-01-19 15:11:47","131336"
"2017-01-19 14:41:26","131336"
"2017-01-19 13:32:50","131336"
"2017-01-19 13:00:34","131336"
"2017-01-19 12:16:23","131336"
"2017-01-19 11:25:10","131336"
"2017-01-19 10:38:55","131336"
"2017-01-19 10:07:30","131336"
"2017-01-19 08:57:42","131336"
"2017-01-19 08:25:35","131336"
"2017-01-19 07:38:08","131336"
"2017-01-19 06:48:56","131336"
"2017-01-19 06:00:32","131336"
"2017-01-19 05:30:24","131336"
"2017-01-19 04:28:42","131336"
"2017-01-19 03:55:46","131336"
"2017-01-19 03:06:49","131336"
"2017-01-19 02:16:31","131336"
"2017-01-19 01:30:13","131336"
"2017-01-19 00:57:39","131336"
"2017-01-18 23:48:44","131336"
"2017-01-18 23:18:50","131336"
"2017-01-18 22:28:53","131336"
"2017-01-18 21:37:42","131336"
"2017-01-18 20:52:39","131336"
"2017-01-18 20:18:32","131336"
"2017-01-18 19:10:15","131336"
"2017-01-18 18:41:14","131336"
"2017-01-18 17:49:46","131336"
"2017-01-18 17:00:53","131336"
"2017-01-18 16:10:22","131336"
"2017-01-18 15:40:12","131336"
"2017-01-18 14:30:18","131336"
"2017-01-18 13:59:19","131336"
"2017-01-18 13:13:03","131336"
"2017-01-18 12:24:20","131336"
